city,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B25077_001E,B27011_014E,B25099_001E,B06007_005E,B06007_008E,B17010B_002E
"weigelstown, pennsylvania",899,3736,2284,1338,629,147100.0,242,61067.0,157,63,17
"paoli, pennsylvania",216,995,876,1317,990,320800.0,149,82222.0,101,286,10
"matamoras, pennsylvania",131,623,414,272,185,180200.0,74,66250.0,16,20,4
"highspire, pennsylvania",239,726,483,188,25,96000.0,91,54250.0,95,4,15
"pitcairn, pennsylvania",155,963,683,283,157,59600.0,227,44493.0,24,18,28
"west view, pennsylvania",335,1482,1550,1119,395,118400.0,147,69632.0,18,19,6
"meadville, pennsylvania",999,2758,1975,1309,1114,91500.0,531,67308.0,15,99,70
"titusville, pennsylvania",497,1553,827,398,227,70300.0,314,49052.0,10,12,15
"progress, pennsylvania",486,2231,2186,1313,435,148600.0,373,74331.0,280,152,90
"aldan, pennsylvania",183,1258,805,538,266,167000.0,142,71750.0,14,13,29
"sharpsburg, pennsylvania",332,1019,696,325,102,68400.0,213,52692.0,103,89,22
"springdale, pennsylvania",180,1087,783,305,169,90400.0,145,58438.0,4,27,14
"bloomsburg, pennsylvania",739,2377,1477,834,653,130000.0,409,58571.0,11,39,39
"mckeesport, pennsylvania",1968,6221,3801,1109,619,47100.0,1295,42131.0,28,137,691
"pennsbury village, pennsylvania",16,120,118,263,107,104000.0,22,53229.0,3,12,13
"wrightsville, pennsylvania",347,876,299,90,56,114400.0,123,54712.0,19,30,17
"kenhorst, pennsylvania",181,923,574,347,71,128100.0,89,60685.0,35,14,18
"baldwin, pennsylvania",1010,5380,4258,2443,1151,116400.0,656,65545.0,96,754,80
"palmer heights, pennsylvania",88,1168,878,472,229,197200.0,104,70913.0,142,33,43
"glenolden, pennsylvania",427,2316,1222,884,261,156500.0,210,71125.0,25,69,27
"gettysburg, pennsylvania",581,959,880,491,507,213300.0,288,60833.0,236,110,33
